NIVEL,CLAVE DE LA ESCUELA,TURNO,ALUMNOS PROGRAMADOS PRUEBA,PORCENTAJE DE EVALUADOS LENGUAJE Y COMUNICACION,PORCENTAJE DE EVALUADOS MATEMATICAS,LA PRUEBA ES REPRESENTATIVA LEGUAJE Y COMUNICACION,LA PRUEBA ES REPRESENTATIVA  MATEMATICAS,INFORMACION POCO CONFIABLE LENGUAJE Y COMUNICACIÓN,INFORMACION POCO CONFIABLE MATEMATICAS,NIVEL I LENGUAJE Y COMUNICACION (%),NIVEL II LENGUAJE Y COMUNICACION (%),NIVEL III LENGUAJE Y COMUNICACION (%),NIVEL IV LENGUAJE Y COMUNICACION (%),NIVEL PREDOMINANTE LENGUAJE Y COMUNICACION ,NIVEL I MATEMATICAS (%),NIVEL II MATEMATICAS (%),NIVEL III MATEMATICAS (%),NIVEL IV MATEMATICAS (%),NIVEL PREDOMINANTE MATEMATICAS
PRIMARIA,14DPR2749Z,MATUTINO,21,85.7,90.5,SI,SI,NO,NO,44.4,33.3,22.2,, I ,47.4,21.1,15.8,15.8,I
PRIMARIA,14DPR2750O,MATUTINO,31,96.8,100,SI,SI,NO,NO,53.3,26.7,20,, I ,58.1,25.8,12.9,3.2,I
PRIMARIA,14DPR2751N,MATUTINO,9,88.9,88.9,SI,SI,NO,NO,62.5,25,12.5,, I ,50,25,12.5,12.5,I
PRIMARIA,14DPR2752M,COMPLETO,22,95.5,95.5,SI,SI,NO,NO,66.7,14.3,19,, I ,76.2,4.8,14.3,4.8,I
PRIMARIA,14DPR2753L,MATUTINO,4,100,100,SI,SI,NO,NO,50,50,,, I ,75,25,,,I
PRIMARIA,14DPR2754K,MATUTINO,10,70,80,SI,SI,NO,NO,85.7,,14.3,, I ,62.5,12.5,25,,I
PRIMARIA,14DPR2756I,MATUTINO,15,73.3,73.3,SI,SI,NO,NO,45.5,36.4,18.2,, I ,90.9,,9.1,,I
PRIMARIA,14DPR2757H,MATUTINO,10,80,80,SI,SI,NO,NO,87.5,12.5,,, I ,100,,,,I
PRIMARIA,14DPR2758G,MATUTINO,2,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR2759F,MATUTINO,1,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR2760V,MATUTINO,8,100,100,SI,SI,NO,NO,87.5,,12.5,, I ,87.5,,12.5,,I
PRIMARIA,14DPR2761U,COMPLETO,26,96.2,92.3,SI,SI,SI,NO,52,40,8,, I ,50,16.7,29.2,4.2,I
PRIMARIA,14DPR2762T,MATUTINO,8,100,100,SI,SI,NO,NO,75,25,,, I ,75,25,,,I
PRIMARIA,14DPR2763S,MATUTINO,6,66.7,66.7,SI,SI,NO,NO,75,25,,, I ,75,,25,,I
PRIMARIA,14DPR2764R,MATUTINO,28,92.9,92.9,SI,SI,SI,NO,53.8,38.5,3.8,3.8, I ,46.2,34.6,15.4,3.8,I
PRIMARIA,14DPR2765Q,MATUTINO,1,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR2766P,MATUTINO,6,66.7,66.7,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR2767O,MATUTINO,6,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR2768N,MATUTINO,7,100,100,SI,SI,NO,NO,71.4,28.6,,, I ,57.1,28.6,14.3,,I
PRIMARIA,14DPR2769M,MATUTINO,12,100,100,SI,SI,NO,NO,91.7,8.3,,, I ,91.7,8.3,,,I
PRIMARIA,14DPR2771A,VESPERTINO,5,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR2775X,MATUTINO,33,81.8,81.8,SI,SI,NO,NO,59.3,33.3,7.4,, I ,70.4,18.5,11.1,,I
PRIMARIA,14DPR2778U,MATUTINO,27,92.6,92.6,SI,SI,SI,NO,52,28,20,, I ,52,12,24,12,I
PRIMARIA,14DPR2781H,COMPLETO,6,100,100,SI,SI,NO,NO,66.7,33.3,,, I ,,,33.3,66.7,IV
PRIMARIA,14DPR2782G,MATUTINO,5,100,100,SI,SI,NO,NO,100,,,, I ,80,20,,,I
PRIMARIA,14DPR2784E,MATUTINO,20,95,95,SI,SI,NO,NO,42.1,21.1,31.6,5.3, I ,31.6,10.5,36.8,21.1,III
PRIMARIA,14DPR2787B,COMPLETO,1,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR2789Z,MATUTINO,24,95.8,100,SI,SI,NO,NO,60.9,17.4,17.4,4.3, I ,33.3,33.3,25,8.3,I
PRIMARIA,14DPR2790P,MATUTINO,7,85.7,85.7,SI,SI,NO,NO,50,33.3,16.7,, I ,50,16.7,16.7,16.7,I
PRIMARIA,14DPR2791O,MATUTINO,34,97.1,100,SI,SI,SI,NO,66.7,24.2,9.1,, I ,88.2,11.8,,,I
PRIMARIA,14DPR2794L,COMPLETO,4,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR2796J,MATUTINO,13,100,100,SI,SI,NO,NO,84.6,15.4,,, I ,76.9,7.7,15.4,,I
PRIMARIA,14DPR2797I,COMPLETO,18,83.3,83.3,SI,SI,NO,SI,80,13.3,6.7,, I ,53.3,26.7,20,,I
PRIMARIA,14DPR2798H,MATUTINO,1,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR2799G,MATUTINO,8,100,100,SI,SI,NO,NO,87.5,12.5,,, I ,100,,,,I
PRIMARIA,14DPR2800F,MATUTINO,70,67.1,68.6,SI,SI,NO,NO,46.8,36.2,14.9,2.1, I ,60.4,29.2,6.3,4.2,I
PRIMARIA,14DPR2801E,VESPERTINO,35,100,100,SI,SI,NO,SI,80,20,,, I ,97.1,2.9,,,I
PRIMARIA,14DPR2803C,MATUTINO,20,85,95,SI,SI,NO,NO,64.7,35.3,,, I ,73.7,15.8,10.5,,I
PRIMARIA,14DPR2805A,COMPLETO,28,82.1,89.3,SI,SI,SI,NO,73.9,13,13,, I ,84,8,4,4,I
PRIMARIA,14DPR2806Z,MATUTINO,35,100,100,SI,SI,NO,SI,40,31.4,20,8.6, I ,62.9,11.4,8.6,17.1,I
PRIMARIA,14DPR2807Z,MATUTINO,1,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR2808Y,MATUTINO,2,100,100,SI,SI,NO,NO,50,50,,, I ,50,50,,,I
PRIMARIA,14DPR2809X,MATUTINO,2,100,100,SI,SI,NO,NO,50,,50,, I ,50,,50,,I
PRIMARIA,14DPR2810M,MATUTINO,6,100,100,SI,SI,NO,NO,83.3,16.7,,, I ,50,50,,,I
PRIMARIA,14DPR2812K,MATUTINO,3,100,100,SI,SI,NO,NO,66.7,33.3,,, I ,33.3,33.3,,33.3,I
PRIMARIA,14DPR2813J,VESPERTINO,13,84.6,92.3,SI,SI,NO,NO,81.8,9.1,9.1,, I ,91.7,,,8.3,I
PRIMARIA,14DPR2814I,MATUTINO,14,92.9,92.9,SI,SI,NO,NO,69.2,15.4,7.7,7.7, I ,69.2,15.4,,15.4,I
PRIMARIA,14DPR2815H,MATUTINO,15,93.3,86.7,SI,SI,SI,NO,64.3,7.1,28.6,, I ,61.5,15.4,15.4,7.7,I
PRIMARIA,14DPR2816G,MATUTINO,13,69.2,76.9,SI,SI,NO,NO,55.6,44.4,,, I ,60,20,20,,I
PRIMARIA,14DPR2820T,MATUTINO,3,100,100,SI,SI,NO,NO,66.7,,33.3,, I ,66.7,33.3,,,I
PRIMARIA,14DPR2821S,MATUTINO,4,75,75,SI,SI,NO,NO,66.7,33.3,,, I ,66.7,33.3,,,I
PRIMARIA,14DPR2823Q,MATUTINO,2,100,100,SI,SI,NO,NO,50,50,,, I ,100,,,,I
PRIMARIA,14DPR2825O,MATUTINO,4,100,100,SI,SI,NO,NO,50,50,,, I ,75,25,,,I
PRIMARIA,14DPR2828L,MATUTINO,25,84,88,SI,SI,NO,SI,71.4,28.6,,, I ,59.1,27.3,13.6,,I
PRIMARIA,14DPR2829K,MATUTINO,23,100,100,SI,SI,NO,NO,43.5,43.5,8.7,4.3, I ,60.9,17.4,8.7,13,I
PRIMARIA,14DPR2830Z,VESPERTINO,3,100,100,SI,SI,NO,NO,33.3,33.3,33.3,, I ,,,100,,III
PRIMARIA,14DPR2831Z,VESPERTINO,26,92.3,92.3,SI,SI,NO,NO,62.5,25,4.2,8.3, I ,62.5,16.7,,20.8,I
PRIMARIA,14DPR2833X,MATUTINO,9,100,100,SI,SI,NO,NO,66.7,11.1,22.2,, I ,88.9,,,11.1,I
PRIMARIA,14DPR2837T,MATUTINO,11,90.9,90.9,SI,SI,NO,NO,50,30,20,, I ,80,10,,10,I
PRIMARIA,14DPR2839R,MATUTINO,5,100,100,SI,SI,NO,NO,60,40,,, I ,80,,20,,I
PRIMARIA,14DPR2840G,MATUTINO,13,100,100,SI,SI,NO,NO,53.8,23.1,23.1,, I ,46.2,15.4,23.1,15.4,I
PRIMARIA,14DPR2841F,MATUTINO,10,90,90,SI,SI,NO,NO,55.6,22.2,11.1,11.1, I ,44.4,22.2,11.1,22.2,I
PRIMARIA,14DPR2846A,MATUTINO,7,100,100,SI,SI,NO,NO,85.7,14.3,,, I ,85.7,,14.3,,I
PRIMARIA,14DPR2847Z,MATUTINO,9,100,100,SI,SI,NO,NO,55.6,33.3,11.1,, I ,77.8,22.2,,,I
PRIMARIA,14DPR2848Z,COMPLETO,10,70,80,SI,SI,NO,NO,71.4,14.3,14.3,, I ,62.5,12.5,12.5,12.5,I
PRIMARIA,14DPR2850N,MATUTINO,23,100,100,SI,SI,NO,NO,52.2,43.5,4.3,, I ,69.6,13,13,4.3,I
PRIMARIA,14DPR2852L,MATUTINO,15,93.3,93.3,SI,SI,NO,SI,42.9,28.6,28.6,, I ,28.6,35.7,35.7,,II
PRIMARIA,14DPR2858F,VESPERTINO,4,50,50,NO,NO,NO,NO,100,,,, I ,50,50,,,I
PRIMARIA,14DPR2859E,COMPLETO,5,100,100,SI,SI,NO,NO,80,,,20, I ,80,,20,,I
PRIMARIA,14DPR2861T,MATUTINO,9,77.8,77.8,SI,SI,NO,NO,42.9,42.9,14.3,, I ,28.6,14.3,28.6,28.6,I
PRIMARIA,14DPR2863R,COMPLETO,23,87,91.3,SI,SI,NO,NO,75,20,5,, I ,90.5,4.8,,4.8,I
PRIMARIA,14DPR2864Q,MATUTINO,5,100,100,SI,SI,NO,NO,40,40,,20, I ,40,20,40,,I
PRIMARIA,14DPR2865P,MATUTINO,5,100,80,SI,SI,NO,NO,40,40,20,, I ,50,25,25,,I
PRIMARIA,14DPR2866O,MATUTINO,35,100,100,SI,SI,NO,NO,62.9,25.7,8.6,2.9, I ,60,20,14.3,5.7,I
PRIMARIA,14DPR2867N,MATUTINO,6,100,100,SI,SI,NO,NO,33.3,33.3,33.3,, I ,50,16.7,16.7,16.7,I
PRIMARIA,14DPR2869L,MATUTINO,22,100,100,SI,SI,SI,NO,77.3,13.6,9.1,, I ,77.3,4.5,9.1,9.1,I
PRIMARIA,14DPR2870A,MATUTINO,25,100,100,SI,SI,NO,NO,64,28,4,4, I ,68,16,8,8,I
PRIMARIA,14DPR2871Z,COMPLETO,33,93.9,97,SI,SI,NO,NO,67.7,19.4,12.9,, I ,68.8,15.6,6.3,9.4,I
PRIMARIA,14DPR2872Z,MATUTINO,8,75,75,SI,SI,NO,NO,66.7,,33.3,, I ,50,33.3,16.7,,I
PRIMARIA,14DPR2873Y,COMPLETO,17,94.1,94.1,SI,SI,NO,NO,68.8,18.8,12.5,, I ,68.8,12.5,12.5,6.3,I
PRIMARIA,14DPR2874X,MATUTINO,3,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR2875W,VESPERTINO,14,78.6,78.6,SI,SI,NO,NO,63.6,18.2,18.2,, I ,81.8,,9.1,9.1,I
PRIMARIA,14DPR2877U,COMPLETO,4,100,100,SI,SI,NO,NO,50,50,,, I ,25,50,25,,II
PRIMARIA,14DPR2878T,MATUTINO,26,96.2,96.2,SI,SI,NO,SI,76,20,4,, I ,72,16,,12,I
PRIMARIA,14DPR2879S,COMPLETO,6,100,100,SI,SI,NO,NO,50,50,,, I ,66.7,,16.7,16.7,I
PRIMARIA,14DPR2881G,MATUTINO,27,100,96.3,SI,SI,NO,NO,77.8,18.5,3.7,, I ,92.3,3.8,3.8,,I
PRIMARIA,14DPR2884D,MATUTINO,35,100,100,SI,SI,NO,NO,48.6,28.6,17.1,5.7, I ,48.6,14.3,14.3,22.9,I
PRIMARIA,14DPR2886B,MATUTINO,6,100,100,SI,SI,NO,NO,66.7,33.3,,, I ,16.7,66.7,16.7,,II
PRIMARIA,14DPR2888Z,MATUTINO,35,100,100,SI,SI,NO,NO,77.1,20,2.9,, I ,88.6,5.7,5.7,,I
PRIMARIA,14DPR2889Z,MATUTINO,5,100,100,SI,SI,NO,NO,60,20,20,, I ,,,100,,III
PRIMARIA,14DPR2891N,MATUTINO,35,100,100,SI,SI,NO,NO,45.7,40,11.4,2.9, I ,57.1,20,20,2.9,I
PRIMARIA,14DPR2892M,COMPLETO,1,100,100,SI,SI,NO,NO,100,,,, I ,,100,,,II
PRIMARIA,14DPR2893L,MATUTINO,22,95.5,95.5,SI,SI,NO,NO,71.4,9.5,9.5,9.5, I ,52.4,28.6,9.5,9.5,I
PRIMARIA,14DPR2894K,MATUTINO,29,100,100,SI,SI,NO,NO,55.2,37.9,3.4,3.4, I ,65.5,17.2,13.8,3.4,I
PRIMARIA,14DPR2895J,MATUTINO,35,100,100,SI,SI,NO,SI,51.4,37.1,8.6,2.9, I ,54.3,28.6,8.6,8.6,I
PRIMARIA,14DPR2896I,MATUTINO,4,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR2897H,MATUTINO,1,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR2898G,MATUTINO,27,92.6,85.2,SI,SI,NO,NO,48,40,12,, I ,60.9,21.7,17.4,,I
PRIMARIA,14DPR2900E,MATUTINO,18,100,100,SI,SI,NO,NO,55.6,38.9,5.6,, I ,72.2,22.2,,5.6,I
PRIMARIA,14DPR2901D,MATUTINO,17,94.1,94.1,SI,SI,NO,NO,68.8,6.3,25,, I ,75,6.3,12.5,6.3,I
PRIMARIA,14DPR2902C,MATUTINO,2,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR2904A,MATUTINO,12,100,100,SI,SI,NO,NO,66.7,25,,8.3, I ,66.7,,25,8.3,I
PRIMARIA,14DPR2906Z,MATUTINO,33,97,97,SI,SI,NO,NO,75,18.8,6.3,, I ,71.9,15.6,12.5,,I
PRIMARIA,14DPR2908X,MATUTINO,5,100,100,SI,SI,NO,NO,60,40,,, I ,80,,20,,I
PRIMARIA,14DPR2909W,MATUTINO,8,100,100,SI,SI,NO,NO,37.5,37.5,12.5,12.5, I ,62.5,,37.5,,I
PRIMARIA,14DPR2910L,MATUTINO,5,100,100,SI,SI,NO,NO,40,40,20,, I ,40,40,20,,I
PRIMARIA,14DPR2912J,MATUTINO,35,97.1,97.1,SI,SI,NO,NO,64.7,23.5,11.8,, I ,64.7,8.8,14.7,11.8,I
PRIMARIA,14DPR2914H,MATUTINO,4,100,100,SI,SI,NO,NO,50,25,25,, I ,50,25,,25,I
PRIMARIA,14DPR2915G,MATUTINO,27,92.6,96.3,SI,SI,NO,NO,96,4,,, I ,100,,,,I
PRIMARIA,14DPR2916F,MATUTINO,35,91.4,100,SI,SI,NO,NO,65.6,21.9,12.5,, I ,45.7,31.4,11.4,11.4,I
PRIMARIA,14DPR2917E,MATUTINO,28,100,100,SI,SI,NO,NO,46.4,28.6,21.4,3.6, I ,46.4,17.9,21.4,14.3,I
PRIMARIA,14DPR2918D,MATUTINO,20,90,90,SI,SI,NO,NO,83.3,11.1,5.6,, I ,88.9,,5.6,5.6,I
PRIMARIA,14DPR2919C,MATUTINO,7,85.7,85.7,SI,SI,NO,NO,83.3,16.7,,, I ,66.7,16.7,,16.7,I
PRIMARIA,14DPR2920S,MATUTINO,70,97.1,94.3,SI,SI,NO,NO,51.5,30.9,11.8,5.9, I ,69.7,15.2,13.6,1.5,I
PRIMARIA,14DPR2921R,MATUTINO,4,25,25,NO,NO,NO,NO,100,,,, I ,,100,,,II
PRIMARIA,14DPR2922Q,MATUTINO,25,96,96,SI,SI,NO,NO,33.3,33.3,29.2,4.2, I ,45.8,25,20.8,8.3,I
PRIMARIA,14DPR2924O,MATUTINO,3,100,100,SI,SI,NO,NO,100,,,, I ,66.7,33.3,,,I
PRIMARIA,14DPR2925N,MATUTINO,35,100,100,SI,SI,SI,SI,88.6,11.4,,, I ,88.6,2.9,5.7,2.9,I
PRIMARIA,14DPR2926M,MATUTINO,70,100,100,SI,SI,NO,NO,51.4,34.3,12.9,1.4, I ,62.9,27.1,7.1,2.9,I
PRIMARIA,14DPR2928K,MATUTINO,17,100,100,SI,SI,NO,NO,64.7,23.5,11.8,, I ,70.6,23.5,5.9,,I
PRIMARIA,14DPR2931Y,MATUTINO,35,100,100,SI,SI,NO,NO,45.7,31.4,20,2.9, I ,48.6,14.3,20,17.1,I
PRIMARIA,14DPR2932X,MATUTINO,27,85.2,81.5,SI,SI,SI,SI,56.5,30.4,13,, I ,54.5,13.6,27.3,4.5,I
PRIMARIA,14DPR2933W,MATUTINO,35,91.4,91.4,SI,SI,NO,NO,65.6,28.1,3.1,3.1, I ,68.8,18.8,6.3,6.3,I
PRIMARIA,14DPR2934V,MATUTINO,70,85.7,82.9,SI,SI,NO,NO,43.3,40,15,1.7, I ,55.2,22.4,15.5,6.9,I
PRIMARIA,14DPR2936T,MATUTINO,35,100,100,SI,SI,NO,NO,37.1,28.6,20,14.3, I ,60,17.1,14.3,8.6,I
PRIMARIA,14DPR2937S,MATUTINO,2,100,100,SI,SI,NO,NO,100,,,, I ,,50,50,,II
PRIMARIA,14DPR2939Q,COMPLETO,15,73.3,86.7,SI,SI,NO,NO,63.6,27.3,9.1,, I ,53.8,30.8,7.7,7.7,I
PRIMARIA,14DPR2940F,MATUTINO,12,91.7,91.7,SI,SI,NO,NO,36.4,36.4,27.3,, I ,27.3,9.1,36.4,27.3,III
PRIMARIA,14DPR2943C,VESPERTINO,70,100,100,SI,SI,NO,NO,51.4,41.4,7.1,, I ,70,12.9,11.4,5.7,I
PRIMARIA,14DPR2944B,MATUTINO,6,100,100,SI,SI,NO,NO,83.3,16.7,,, I ,100,,,,I
PRIMARIA,14DPR2945A,MATUTINO,4,75,75,SI,SI,NO,NO,66.7,33.3,,, I ,66.7,33.3,,,I
PRIMARIA,14DPR2946Z,MATUTINO,18,100,94.4,SI,SI,NO,NO,66.7,27.8,,5.6, I ,82.4,5.9,11.8,,I
PRIMARIA,14DPR2950M,MATUTINO,8,100,100,SI,SI,NO,NO,75,25,,, I ,87.5,12.5,,,I
PRIMARIA,14DPR2952K,VESPERTINO,27,77.8,74.1,SI,SI,NO,SI,76.2,14.3,4.8,4.8, I ,70,20,5,5,I
PRIMARIA,14DPR2954I,MATUTINO,1,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR2955H,MATUTINO,12,100,100,SI,SI,NO,NO,50,25,25,, I ,58.3,25,8.3,8.3,I
PRIMARIA,14DPR2956G,MATUTINO,21,95.2,100,SI,SI,NO,NO,75,20,5,, I ,76.2,14.3,4.8,4.8,I
PRIMARIA,14DPR2957F,VESPERTINO,70,92.9,100,SI,SI,NO,NO,61.5,30.8,6.2,1.5, I ,70,18.6,11.4,,I
PRIMARIA,14DPR2959D,MATUTINO,13,69.2,76.9,SI,SI,NO,NO,77.8,11.1,11.1,, I ,60,20,10,10,I
PRIMARIA,14DPR2962R,MATUTINO,9,100,100,SI,SI,NO,NO,55.6,22.2,22.2,, I ,44.4,33.3,22.2,,I
PRIMARIA,14DPR2963Q,MATUTINO,2,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR2965O,MATUTINO,5,100,100,SI,SI,NO,NO,80,20,,, I ,80,20,,,I
PRIMARIA,14DPR2967M,MATUTINO,6,100,100,SI,SI,NO,NO,83.3,16.7,,, I ,100,,,,I
PRIMARIA,14DPR2968L,MATUTINO,7,85.7,100,SI,SI,NO,NO,66.7,33.3,,, I ,85.7,14.3,,,I
PRIMARIA,14DPR2969K,MATUTINO,18,100,100,SI,SI,NO,NO,38.9,38.9,22.2,, I ,50,16.7,33.3,,I
PRIMARIA,14DPR2970Z,MATUTINO,21,90.5,95.2,SI,SI,NO,SI,57.9,42.1,,, I ,55,40,5,,I
PRIMARIA,14DPR2974W,MATUTINO,3,100,100,SI,SI,NO,NO,33.3,33.3,33.3,, I ,100,,,,I
PRIMARIA,14DPR2975V,MATUTINO,19,100,100,SI,SI,SI,SI,57.9,36.8,5.3,, I ,68.4,10.5,10.5,10.5,I
PRIMARIA,14DPR2977T,MATUTINO,35,100,100,SI,SI,NO,NO,42.9,31.4,20,5.7, I ,48.6,28.6,17.1,5.7,I
PRIMARIA,14DPR2978S,MATUTINO,13,76.9,76.9,SI,SI,NO,NO,60,20,20,, I ,60,10,30,,I
PRIMARIA,14DPR2979R,MATUTINO,9,100,100,SI,SI,NO,NO,44.4,44.4,11.1,, I ,77.8,11.1,11.1,,I
PRIMARIA,14DPR2980G,MATUTINO,6,50,83.3,NO,SI,NO,NO,66.7,33.3,,, I ,80,20,,,I
PRIMARIA,14DPR2983D,MATUTINO,10,100,100,SI,SI,NO,NO,50,30,20,, I ,60,20,10,10,I
PRIMARIA,14DPR2985B,MATUTINO,1,100,100,SI,SI,NO,NO,100,,,, I ,,100,,,II
PRIMARIA,14DPR2987Z,MATUTINO,4,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR2989Y,VESPERTINO,5,100,100,SI,SI,NO,NO,60,40,,, I ,100,,,,I
PRIMARIA,14DPR2990N,COMPLETO,3,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR2991M,MATUTINO,34,94.1,97.1,SI,SI,NO,NO,78.1,15.6,6.3,, I ,72.7,12.1,9.1,6.1,I
PRIMARIA,14DPR2992L,MATUTINO,70,100,100,SI,SI,SI,NO,50,32.9,15.7,1.4, I ,60,14.3,18.6,7.1,I
PRIMARIA,14DPR2995I,MATUTINO,3,100,100,SI,SI,NO,NO,33.3,33.3,33.3,, I ,33.3,,33.3,33.3,I
PRIMARIA,14DPR2997G,MATUTINO,6,50,50,NO,NO,NO,NO,66.7,33.3,,, I ,100,,,,I
PRIMARIA,14DPR2998F,MATUTINO,19,100,100,SI,SI,NO,NO,42.1,31.6,26.3,, I ,26.3,31.6,36.8,5.3,III
PRIMARIA,14DPR3000U,COMPLETO,4,100,100,SI,SI,NO,NO,75,,25,, I ,50,,25,25,I
PRIMARIA,14DPR3003R,MATUTINO,8,100,100,SI,SI,NO,NO,87.5,12.5,,, I ,87.5,12.5,,,I
PRIMARIA,14DPR3004Q,MATUTINO,2,100,100,SI,SI,NO,NO,50,50,,, I ,,,,100,IV
PRIMARIA,14DPR3008M,MATUTINO,2,100,100,SI,SI,NO,NO,50,50,,, I ,100,,,,I
PRIMARIA,14DPR3012Z,MATUTINO,5,100,100,SI,SI,NO,NO,40,20,20,20, I ,60,20,,20,I
PRIMARIA,14DPR3013Y,MATUTINO,7,100,100,SI,SI,NO,NO,85.7,14.3,,, I ,71.4,28.6,,,I
PRIMARIA,14DPR3014X,MATUTINO,70,95.7,87.1,SI,SI,NO,NO,43.3,23.9,25.4,7.5, I ,42.6,27.9,21.3,8.2,I
PRIMARIA,14DPR3017U,MATUTINO,2,100,100,SI,SI,NO,NO,50,50,,, I ,100,,,,I
PRIMARIA,14DPR3018T,MATUTINO,3,100,100,SI,SI,NO,NO,66.7,33.3,,, I ,66.7,33.3,,,I
PRIMARIA,14DPR3020H,VESPERTINO,15,93.3,93.3,SI,SI,NO,NO,57.1,35.7,7.1,, I ,57.1,35.7,,7.1,I
PRIMARIA,14DPR3025C,MATUTINO,35,100,100,SI,SI,SI,NO,40,34.3,20,5.7, I ,42.9,20,17.1,20,I
PRIMARIA,14DPR3026B,MATUTINO,4,75,75,SI,SI,NO,NO,66.7,33.3,,, I ,100,,,,I
PRIMARIA,14DPR3027A,MATUTINO,12,91.7,91.7,SI,SI,NO,NO,63.6,27.3,9.1,, I ,72.7,27.3,,,I
PRIMARIA,14DPR3028Z,VESPERTINO,32,93.8,96.9,SI,SI,NO,SI,73.3,20,3.3,3.3, I ,77.4,12.9,6.5,3.2,I
PRIMARIA,14DPR3030O,MATUTINO,35,100,100,SI,SI,NO,NO,71.4,17.1,11.4,, I ,74.3,11.4,8.6,5.7,I
PRIMARIA,14DPR3031N,VESPERTINO,23,73.9,78.3,SI,SI,NO,SI,47.1,47.1,5.9,, I ,55.6,33.3,11.1,,I
PRIMARIA,14DPR3032M,MATUTINO,11,90.9,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR3033L,VESPERTINO,1,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR3036I,MATUTINO,35,97.1,100,SI,SI,NO,NO,52.9,38.2,8.8,, I ,60,22.9,17.1,,I
PRIMARIA,14DPR3037H,VESPERTINO,15,86.7,86.7,SI,SI,NO,NO,84.6,15.4,,, I ,92.3,7.7,,,I
PRIMARIA,14DPR3038G,MATUTINO,70,100,100,SI,SI,NO,SI,64.3,25.7,10,, I ,84.3,10,5.7,,I
PRIMARIA,14DPR3039F,MATUTINO,3,100,100,SI,SI,NO,NO,66.7,33.3,,, I ,100,,,,I
PRIMARIA,14DPR3042T,VESPERTINO,3,100,100,SI,SI,NO,NO,66.7,33.3,,, I ,100,,,,I
PRIMARIA,14DPR3043S,MATUTINO,24,83.3,83.3,SI,SI,NO,NO,65,35,,, I ,65,30,5,,I
PRIMARIA,14DPR3045Q,MATUTINO,33,100,100,SI,SI,NO,NO,45.5,39.4,15.2,, I ,57.6,24.2,12.1,6.1,I
PRIMARIA,14DPR3047O,VESPERTINO,14,100,100,SI,SI,NO,SI,57.1,28.6,14.3,, I ,64.3,14.3,21.4,,I
PRIMARIA,14DPR3048N,VESPERTINO,2,100,100,SI,SI,NO,NO,50,,50,, I ,,50,,50,II
PRIMARIA,14DPR3049M,VESPERTINO,35,94.3,91.4,SI,SI,NO,NO,51.5,39.4,9.1,, I ,59.4,25,15.6,,I
PRIMARIA,14DPR3050B,VESPERTINO,1,100,100,SI,SI,NO,NO,100,,,, I ,,,100,,III
PRIMARIA,14DPR3051A,COMPLETO,3,66.7,100,SI,SI,NO,NO,50,50,,, I ,66.7,33.3,,,I
PRIMARIA,14DPR3052Z,MATUTINO,35,94.3,100,SI,SI,NO,NO,54.5,27.3,15.2,3, I ,57.1,25.7,14.3,2.9,I
PRIMARIA,14DPR3054Y,VESPERTINO,35,94.3,97.1,SI,SI,SI,NO,60.6,24.2,12.1,3, I ,47.1,20.6,20.6,11.8,I
PRIMARIA,14DPR3056W,MATUTINO,30,96.7,83.3,SI,SI,NO,NO,48.3,34.5,17.2,, I ,40,28,20,12,I
PRIMARIA,14DPR3058U,MATUTINO,35,100,100,SI,SI,NO,NO,48.6,25.7,22.9,2.9, I ,51.4,25.7,11.4,11.4,I
PRIMARIA,14DPR3064E,VESPERTINO,70,100,97.1,SI,SI,NO,NO,57.1,31.4,11.4,, I ,67.6,17.6,14.7,,I
PRIMARIA,14DPR3065D,MATUTINO,18,100,94.4,SI,SI,NO,SI,50,50,,, I ,41.2,11.8,29.4,17.6,I
